event_id,match_ts,match_date_utc,match_label,opponent,home_away,player_id,player_name,display_name,minutes_played,passes_p90,tackles_won_p90,duels_won_p90,successful_dribbles_p90,defensive_actions_p90,key_passes_p90,possession_lost_p90,touches_p90,pass_accuracy_match,ball_losses_per_touch_pct,duels_total,ground_duels,air_duels,ground_duels_won,air_duels_won,shots_on_target,shots_total,interceptions,crosses_total,crosses_accurate,crosses_accuracy_pct,duels_total_p90,ground_duels_p90,air_duels_p90,ground_duels_won_p90,air_duels_won_p90,shots_on_target_p90,shots_total_p90,interceptions_p90,crosses_total_p90,crosses_accurate_p90
14056321,1754676000,2025-08-08T18:00:00+00:00,Jong Ajax. Thuis,Jong Ajax,Thuis,1048226,Teun van Grunsven,T. v. Grunsven - 4,90.0,53.0,2.0,6.0,1.0,12.999999999999998,1.0,8.0,65.0,84.90566037735849,12.307692307692308,8.0,5.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,,8.0,5.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0
14056321,1754676000,2025-08-08T18:00:00+00:00,Jong Ajax. Thuis,Jong Ajax,Thuis,1048428,Thijs van Leeuwen,T. v. Leeuwen - 10,60.0,46.50000000000001,0.0,0.0,0.0,7.5,0.0,22.5,66.0,80.64516129032258,34.090909090909086,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.5,12.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0
14056357,1756046700,2025-08-24T14:45:00+00:00,TOP Oss. Thuis,TOP Oss,Thuis,1186805,Chahid El Allachi,C. E. Allachi - 51,11.0,16.363636363636363,0.0,0.0,0.0,32.72727272727273,8.181818181818182,16.363636363636363,49.090909090909086,50.0,33.333333333333336,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.181818181818182,0.0,8.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14056357,1756046700,2025-08-24T14:45:00+00:00,TOP Oss. Thuis,TOP Oss,Thuis,73501,Danny Verbeek,D. Verbeek - 11,69.0,33.91304347826087,0.0,1.3043478260869565,0.0,7.826086956521739,3.9130434782608696,9.130434782608695,50.8695652173913,80.76923076923077,17.948717948717952,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,100.0,2.608695652173913,2.608695652173913,0.0,1.3043478260869565,0.0,1.3043478260869565,1.3043478260869565,0.0,3.9130434782608696,3.9130434782608696
14056357,1756046700,2025-08-24T14:45:00+00:00,TOP Oss. Thuis,TOP Oss,Thuis,1860773,Emian-Johar Semedo,E. Semedo - 17,21.0,30.0,12.857142857142856,25.71428571428571,12.857142857142856,38.57142857142857,0.0,25.71428571428571,90.0,57.14285714285714,28.57142857142857,8.0,8.0,0.0,6.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,34.285714285714285,34.285714285714285,0.0,25.71428571428571,0.0,4.285714285714286,8.571428571428571,0.0,4.285714285714286,0.0
14056357,1756046700,2025-08-24T14:45:00+00:00,TOP Oss. Thuis,TOP Oss,Thuis,1492733,Ilias Boumassaoudi,I. Boumassaoudi - 40,90.0,36.0,0.0,1.0,0.0,5.0,3.0,12.999999999999998,53.0,72.22222222222221,24.528301886792452,5.0,4.0,1.0,0.0,1.0,4.0,8.0,0.0,1.0,0.0,0.0,5.0,4.0,1.0,0.0,1.0,4.0,8.0,0.0,1.0,0.0
14056357,1756046700,2025-08-24T14:45:00+00:00,TOP Oss. Thuis,TOP Oss,Thuis,52753,Jeffrey Fortes,J. Fortes - 22,90.0,32.0,3.0,5.0,1.0,12.0,0.0,14.0,57.0,78.125,24.561403508771928,7.0,6.0,1.0,4.0,1.0,0.0,1.0,2.0,6.0,2.0,33.33333333333333,7.0,6.0,1.0,4.0,1.0,0.0,1.0,2.0,6.0,2.0
14056357,1756046700,2025-08-24T14:45:00+00:00,TOP Oss. Thuis,TOP Oss,Thuis,896215,Kevin Felida,K. Felida - 6,90.0,43.0,1.0,3.0,0.0,8.0,0.0,7.0,55.00000000000001,88.37209302325581,12.727272727272727,9.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
14056357,1756046700,2025-08-24T14:45:00+00:00,TOP Oss. Thuis,TOP Oss,Thuis,966676,Kévin Monzialo,K. Monzialo - 8,90.0,21.0,0.0,2.0,0.0,4.0,3.0,9.0,41.0,85.71428571428571,21.951219512195124,8.0,6.0,2.0,2.0,0.0,2.0,3.0,0.0,5.0,3.0,60.0,8.0,6.0,2.0,2.0,0.0,2.0,3.0,0.0,5.0,3.0
14056357,1756046700,2025-08-24T14:45:00+00:00,TOP Oss. Thuis,TOP Oss,Thuis,1618954,Luc van Koeverden,L. v. Koeverden - 42,22.0,16.363636363636363,0.0,0.0,0.0,4.090909090909091,0.0,0.0,20.454545454545453,100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.090909090909091,0.0,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14056357,1756046700,2025-08-24T14:45:00+00:00,TOP Oss. Thuis,TOP Oss,Thuis,1509970,Mees Laros,M. Laros - 33,69.0,30.0,0.0,2.608695652173913,0.0,5.217391304347826,2.608695652173913,7.826086956521739,39.130434782608695,78.26086956521739,20.0,6.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,7.826086956521739,3.9130434782608696,3.9130434782608696,2.608695652173913,0.0,0.0,0.0,1.3043478260869565,0.0,0.0
14056357,1756046700,2025-08-24T14:45:00+00:00,TOP Oss. Thuis,TOP Oss,Thuis,1133405,Nick de Groot,N. d. Groot - 5,35.0,20.57142857142857,0.0,2.571428571428571,0.0,5.142857142857142,0.0,15.428571428571429,48.857142857142854,50.0,31.578947368421055,4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,10.285714285714285,2.571428571428571,7.714285714285714,0.0,2.571428571428571,0.0,0.0,0.0,0.0,0.0
14056357,1756046700,2025-08-24T14:45:00+00:00,TOP Oss. Thuis,TOP Oss,Thuis,1088891,Pepijn van de Merbel,P. v. d. Merbel - 36,90.0,40.0,0.0,1.0,0.0,21.0,0.0,15.0,58.00000000000001,62.5,25.86206896551724,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14056357,1756046700,2025-08-24T14:45:00+00:00,TOP Oss. Thuis,TOP Oss,Thuis,977526,Reda Akmum,R. Akmum - 27,90.0,37.0,2.0,5.0,1.0,9.0,0.0,8.0,50.0,78.37837837837837,16.0,6.0,5.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,,6.0,5.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0
14056357,1756046700,2025-08-24T14:45:00+00:00,TOP Oss. Thuis,TOP Oss,Thuis,1067996,Stan Maas,S. Maas - 3,55.0,31.09090909090909,1.6363636363636362,1.6363636363636362,0.0,11.454545454545453,0.0,11.454545454545453,42.54545454545455,68.42105263157895,26.923076923076923,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,6.545454545454545,3.2727272727272725,3.2727272727272725,1.6363636363636362,0.0,0.0,0.0,1.6363636363636362,0.0,0.0
